id_product;id_category
8247;7813
8248;7813
8277;7813
8249;7813
8264;7813
8279;7813
8269;7813
8260;7813
8267;7813
8250;7813
8251;7813
8252;7813
8273;7813
8274;7813
8255;7813
8271;7813
8280;7813
8281;7813
8256;7813
8257;7813
8283;7813
8286;7813
8287;7813
8290;7813
8293;7813
8294;7813
8295;7813
8270;7813
8296;7813
8297;7813
8299;7813
8262;7813
8300;7813
8301;7813
8263;7813
7949;7813
7979;7813
7980;7813
7952;7813
7994;7813
7998;7813
7954;7813
7959;7813
7983;7813
7961;7813
7988;7813
7963;7813
7964;7813
7967;7813
7985;7813
7968;7813
7970;7813
7992;7813
7972;7813
7995;7813
7974;7813
7990;7813
6769;7813
8416;7813
7920;7813
7886;7813
7930;7813
7986;7813
7928;7813
7929;7813
7919;7813
7906;7813
5125;7813
5123;7813
5903;7813
5265;7813
5905;7813
7976;7813
6481;7813
8041;7813
8373;7813
274;7813
7942;7813
6585;7813
8386;7813
7937;7813
6593;7813
5307;7813
265;7813
247;7813
246;7813
6735;7813
8387;7813
8043;7813
3491;7813
3531;7813
3535;7813
7903;7813
6623;7813
6463;7813
6461;7813
3537;7813
5109;7813
5111;7813
5113;7813
6669;7813
6949;7813
6957;7813
6959;7813
6967;7813
2992;7813
7851;7813
6443;7813
6441;7813
8045;7813
6351;7813
6639;7813
6635;7813
6349;7813
8042;7813
5899;7813
5897;7813
5901;7813
6631;7813
2982;7813
6535;7813
6643;7813
7257;7813
6573;7813
7899;7813
6597;7813
7751;7813
6595;7813
8055;7813
6469;7813
5317;7813
7958;7813
6747;7813
235;7813
237;7813
242;7813
7805;7813
7807;7813
5309;7813
5311;7813
5313;7813
5315;7813
5995;7813
2202;7813
2212;7813
2222;7813
6457;7813
7775;7813
7777;7813
8384;7813
8381;7813
4177;7813
3775;7813
4785;7813
8304;7813
4551;7813
8305;7813
4325;7813
6225;7813
156;7813
6565;7813
4533;7813
3931;7813
6011;7813
106;7813
105;7813
4337;7813
120;7813
8306;7813
159;7813
8307;7813
150;7813
5661;7813
8308;7813
8309;7813
8310;7813
152;7813
5665;7813
8311;7813
5197;7813
8312;7813
3781;7813
8313;7813
8314;7813
5681;7813
8315;7813
6003;7813
153;7813
8316;7813
8317;7813
8318;7813
123;7813
126;7813
107;7813
6661;7813
109;7813
112;7813
6665;7813
8319;7813
157;7813
131;7813
3691;7813
8320;7813
8303;7813
5697;7813
6673;7813
135;7813
114;7813
6677;7813
6007;7813
149;7813
142;7813
116;7813
138;7813
6009;7813
8321;7813
118;7813
147;7813
6409;7813
3615;7813
5705;7813
154;7813
6015;7813
8322;7813
8323;7813
3795;7813
145;7813
5719;7813
8324;7813
8325;7813
3793;7813
8326;7813
8327;7813
8328;7813
6079;7813
8329;7813
8330;7813
8331;7813
8332;7813
6359;7813
8246;7813
8333;7813
8334;7813
6097;7813
8335;7813
8336;7813
6361;7813
8337;7813
8338;7813
6385;7813
6119;7813
6123;7813
8339;7813
8340;7813
8341;7813
6141;7813
6365;7813
8343;7813
8344;7813
8345;7813
8346;7813
7934;7813
6367;7813
8347;7813
8348;7813
6353;7813
5799;7813
5803;7813
5807;7813
5811;7813
5817;7813
5819;7813
5823;7813
5825;7813
5829;7813
5831;7813
5833;7813
6603;7813
5835;7813
5837;7813
5841;7813
5843;7813
5845;7813
5847;7813
5851;7813
6605;7813
6607;7813
6609;7813
6637;7813
7865;7813
7867;7813
7978;7813
8009;7813
8010;7813
8011;7813
7890;7813
7891;7813
7892;7813
7896;7813
7894;7813
7897;7813
7931;7813
8001;7813
8003;7813
8027;7813
8018;7813
8022;7813
8023;7813
8025;7813
8026;7813
8012;7813
8014;7813
8015;7813
8017;7813
7932;7813
8047;7813
2032;7813
2042;7813
2052;7813
2062;7813
2072;7813
2082;7813
2092;7813
2102;7813
1402;7813
6219;7813
1432;7813
6216;7813
1312;7813
1342;7813
1392;7813
7069;7813
7097;7813
8051;7813
8376;7813
7809;7813
8377;7813
6925;7813
6895;7813
6903;7813
6905;7813
6529;7813
6911;7813
8350;7813
8396;7813
8397;7813
8394;7813
8398;7813
8399;7813
8400;7813
8401;7813
8411;7813
8410;7813
8408;7813
8407;7813
8351;7813
8358;7813
7249;7813
7253;7813
7255;7813
7267;7813
7273;7813
7275;7813
7031;7813
7059;7813
7061;7813
7355;7813
7359;7813
7361;7813
6489;7813
7373;7813
7473;7813
7485;7813
8359;7813
8352;7813
7379;7813
7383;7813
6965;7813
7023;7813
7027;7813
7081;7813
6711;7813
6713;7813
6731;7813
6733;7813
6729;7813
8356;7813
7813;7813
8354;7813
7837;7813
7884;7813
8357;7813
7241;7813
7421;7813
7435;7813
7437;7813
7439;7813
7443;7813
7451;7813
7453;7813
7922;7813
7075;7813
7113;7813
7193;7813
7195;7813
7197;7813
7199;7813
7205;7813
6823;7813
6829;7813
5445;7813
6707;7813
6495;7813
7307;7813
7309;7813
7311;7813
7317;7813
7459;7813
7461;7813
7497;7813
8036;7813
6517;7813
6509;7813
8034;7813
6503;7813
6331;7813
6333;7813
7529;7813
