Product ID;Reference;Prix spécial : Id_group client;Prix spécial : Qté minimim;Prix spécial : Prix
8581;CA001B;19;1;33.77
8580;CA001G;19;1;33.77
8582;CA001R;19;1;33.77
8584;CA002B;19;1;45.045
8583;CA002G;19;1;45.045
8585;CA002R;19;1;45.045
8587;CA003B;19;1;76.054
8586;CA003G;19;1;76.054
8588;CA003R;19;1;76.054
8590;CA004B;19;1;33.77
8589;CA004G;19;1;33.77
8591;CA004R;19;1;33.77
8593;CA005B;19;1;56.32
8592;CA005G;19;1;56.32
8594;CA005R;19;1;56.32
8596;CA006B;19;1;36.586
8595;CA006G;19;1;36.586
8597;CA006R;19;1;36.586
8602;CA008B;19;1;56.32
8601;CA008G;19;1;56.32
8603;CA008R;19;1;56.32
8605;CA009B;19;1;78.87
8604;CA009G;19;1;78.87
8606;CA009R;19;1;78.87
8435;EL001BG;19;1;31.548
8437;EL001BL;19;1;31.548
8439;EL001BM;19;1;31.548
8433;EL001G;19;1;31.548
8438;EL001M;19;1;31.548
8432;EL001N;19;1;31.548
8436;EL001R;19;1;31.548
8434;EL001V;19;1;31.548
8443;EL002BG;19;1;43.351
8445;EL002BL;19;1;43.351
8447;EL002BM;19;1;43.351
8441;EL002G;19;1;43.351
8446;EL002M;19;1;43.351
8440;EL002N;19;1;43.351
8444;EL002R;19;1;43.351
8442;EL002V;19;1;43.351
8451;EL003BG;19;1;72.666
8453;EL003BL;19;1;72.666
8455;EL003BM;19;1;72.666
8449;EL003G;19;1;72.666
8454;EL003M;19;1;72.666
8448;EL003N;19;1;72.666
8452;EL003R;19;1;72.666
8450;EL003V;19;1;72.666
8459;EL004BG;19;1;32.637
8461;EL004BL;19;1;32.637
8463;EL004BM;19;1;32.637
8457;EL004G;19;1;32.637
8462;EL004M;19;1;32.637
8456;EL004N;19;1;32.637
8460;EL004R;19;1;32.637
8458;EL004V;19;1;32.637
8467;EL005BG;19;1;50.677
8469;EL005BL;19;1;50.677
8471;EL005BM;19;1;50.677
8465;EL005G;19;1;50.677
8470;EL005M;19;1;50.677
8464;EL005N;19;1;50.677
8468;EL005R;19;1;50.677
8466;EL005V;19;1;50.677
8475;EL006BG;19;1;73.227
8477;EL006BL;19;1;73.227
8479;EL006BM;19;1;73.227
8473;EL006G;19;1;73.227
8478;EL006M;19;1;73.227
8472;EL006N;19;1;73.227
8476;EL006R;19;1;73.227
8474;EL006V;19;1;73.227
8483;EL007BG;19;1;56.309
8485;EL007BL;19;1;56.309
8487;EL007BM;19;1;56.309
8481;EL007G;19;1;56.309
8486;EL007M;19;1;56.309
8480;EL007N;19;1;56.309
8484;EL007R;19;1;56.309
8482;EL007V;19;1;56.309
8491;EL008BG;19;1;33.77
8493;EL008BL;19;1;33.77
8495;EL008BM;19;1;33.77
8489;EL008G;19;1;33.77
8494;EL008M;19;1;33.77
8488;EL008N;19;1;33.77
8492;EL008R;19;1;33.77
8490;EL008V;19;1;33.77
8508;GT001BG;19;1;16.291
8509;GT001BL;19;1;16.291
8507;GT001G;19;1;16.291
8506;GT001N;19;1;16.291
8512;GT002BG;19;1;19.668
8513;GT002BL;19;1;19.668
8511;GT002G;19;1;19.668
8510;GT002N;19;1;19.668
8516;GT003BG;19;1;33.209
8517;GT003BL;19;1;33.209
8515;GT003G;19;1;33.209
8514;GT003N;19;1;33.209
8520;GT004BG;19;1;16.291
8521;GT004BL;19;1;16.291
8519;GT004G;19;1;16.291
8518;GT004N;19;1;16.291
8524;GT005BG;19;1;20.801
8525;GT005BL;19;1;20.801
8523;GT005G;19;1;20.801
8522;GT005N;19;1;20.801
8528;GT006BG;19;1;28.127
8529;GT006BL;19;1;28.127
8527;GT006G;19;1;28.127
8526;GT006N;19;1;28.127
8532;GT007BG;19;1;38.28
8533;GT007BL;19;1;38.28
8531;GT007G;19;1;38.28
8530;GT007N;19;1;38.28
8536;GT008BG;19;1;18.546
8537;GT008BL;19;1;18.546
8535;GT008G;19;1;18.546
8534;GT008N;19;1;18.546
8540;GT009BG;19;1;49.533
8541;GT009BL;19;1;49.533
8539;GT009G;19;1;49.533
8538;GT009N;19;1;49.533
8544;GT010BG;19;1;32.637
8545;GT010BL;19;1;32.637
8543;GT010G;19;1;32.637
8542;GT010N;19;1;32.637
8548;GT011BG;19;1;31.515
8549;GT011BL;19;1;31.515
8547;GT011G;19;1;31.515
8546;GT011N;19;1;31.515
8552;PR001BG;19;1;21.934
8551;PR001G;19;1;21.934
8550;PR001N;19;1;21.934
8555;PR002BG;19;1;27.566
8554;PR002G;19;1;27.566
8553;PR002N;19;1;27.566
8558;PR003BG;19;1;47.861
8557;PR003G;19;1;47.861
8556;PR003N;19;1;47.861
8561;PR004BG;19;1;22.495
8560;PR004G;19;1;22.495
8559;PR004N;19;1;22.495
8564;PR005BG;19;1;25.311
8563;PR005G;19;1;25.311
8562;PR005N;19;1;25.311
8567;PR006BG;19;1;36.586
8566;PR006G;19;1;36.586
8565;PR006N;19;1;36.586
8570;PR007BG;19;1;52.932
8569;PR007G;19;1;52.932
8568;PR007N;19;1;52.932
8573;PR008BG;19;1;38.841
8572;PR008G;19;1;38.841
8571;PR008N;19;1;38.841
8576;PR009BG;19;1;23.617
8575;PR009G;19;1;23.617
8574;PR009N;19;1;23.617
8579;PR010BG;19;1;43.912
8578;PR010G;19;1;43.912
8577;PR010N;19;1;43.912
