Product ID;id cat
5491;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
5971;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
6769;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
6789;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
6797;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
6799;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
6801;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7952;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7954;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7959;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7961;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7963;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7964;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7967;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7968;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7970;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7972;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7983;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7984;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7985;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7988;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7992;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7994;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
7995;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8000;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8248;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8249;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8250;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8251;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8252;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8255;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8260;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8262;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8264;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8267;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8269;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8270;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8271;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8273;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8274;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8276;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8277;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8280;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8281;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8283;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8285;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8286;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8287;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8288;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8289;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8290;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8295;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8296;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8297;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8298;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8299;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
8300;297,270,301,610,297,582,608,598,579,1691,354,268,623,272,710,335,281,47,1595,685,622,194,196,614,282,199,197
