id_product;Ref;Prix TTC
1102;174390;62,40
1122;174410;72,00
1402;173020;35,25
1422;173040;37,44
1432;173050;28,80
2232;174660;20,40
5393;196120;28,05
5445;234030;13,50
5521;196360;18,90
5743;200740;16,20
5751;200750;16,20
5881;222120;17,00
5927;199540;24,00
5947;223750;21,00
6079;221620;34,00
6097;226180;37,44
6105;226190;38,40
6119;221790;34,00
6129;221800;30,00
6131;221830;34,00
6141;221880;34,00
6219;173030;36,48
6285;231700;34,01
6331;228820;13,26
6333;228830;13,62
6359;231780;36,00
6361;231820;36,00
6365;231740;36,96
6369;231760;36,96
6371;230850;19,34
6421;234130;13,41
6425;234140;13,41
6427;234110;13,41
6437;234340;20,25
6441;233400;18,36
6443;234350;16,20
6459;234370;15,30
6461;415260;13,77
6463;415270;13,50
6469;233250;18,70
6479;233640;16,32
6481;233630;15,30
6483;233650;18,87
6495;234020;13,50
6503;234010;15,00
6523;236510;13,77
6595;406;17,85
6621;235650;20,40
6633;235390;18,36
6635;235380;30,00
6639;235400;17,06
6747;192310;22,44
6769;196100;24,00
6821;331;25,60
6823;013/915;22,50
6829;013/991;22,50
6967;268;14,45
7023;440;17,34
7057;50901;15,30
7081;54104;15,00
7085;54111;13,77
7163;626;13,77
7165;626A;13,77
7167;628;13,77
7169;629;14,28
7171;630;14,28
7173;631;14,28
7175;632;14,28
7183;638;14,28
7253;78302;16,32
7299;829;12,75
7359;945;15,30
7361;946;16,32
7477;98730B;18,90
7483;98730OR;18,90
7485;98730P;14,40
7521;201940;22,41
7529;239260;17,00
7749;403;18,75
7753;241130;28,89
7761;241340;15,30
7801;236250;12,75
7817;243570;74,07
7851;143580;16,20
7861;202480;36,00
7865;202500;33,75
7867;202510;36,00
7904;229880;16,00
7918;409;20,40
7925;110;0,00
7934;241970;37,44
7940;237030;21,35
7941;237020;21,35
8033;236520;12,75
8034;233900;12,75
8036;233960;15,30
8037;233880;12,75
8040;239160;22,40
8043;238200;33,00
8045;236540;16,00
8046;147;15,30
8048;402;21,60
8050;148;15,30
8051;149;15,30
8053;97621;17,00
8054;97622;15,30
