id_product;Prix TTC;tva
1102;62,40;20
1122;72,00;20
1402;35,25;20
1422;37,44;20
1432;28,80;20
2232;20,40;20
5393;28,05;20
5445;13,50;20
5521;18,90;20
5743;16,20;20
5751;16,20;20
5881;17,00;20
5927;24,00;20
5947;21,00;20
6079;34,00;20
6097;37,44;20
6105;38,40;20
6119;34,00;20
6129;30,00;20
6131;34,00;20
6141;34,00;20
6219;36,48;20
6285;34,01;20
6331;13,26;20
6333;13,62;20
6359;36,00;20
6361;36,00;20
6365;36,96;20
6369;36,96;20
6371;19,34;20
6421;13,41;20
6425;13,41;20
6427;13,41;20
6437;20,25;20
6441;18,36;20
6443;16,20;20
6459;15,30;20
6461;13,77;20
6463;13,50;20
6469;18,70;20
6479;16,32;20
6481;15,30;20
6483;18,87;20
6495;13,50;20
6503;15,00;20
6523;13,77;20
6595;17,85;20
6621;20,40;20
6633;18,36;20
6635;30,00;20
6639;17,06;20
6747;22,44;20
6769;24,00;20
6821;25,60;20
6823;22,50;20
6829;22,50;20
6967;14,45;20
7023;17,34;20
7057;15,30;20
7081;15,00;20
7085;13,77;20
7163;13,77;20
7165;13,77;20
7167;13,77;20
7169;14,28;20
7171;14,28;20
7173;14,28;20
7175;14,28;20
7183;14,28;20
7253;16,32;20
7299;12,75;20
7359;15,30;20
7361;16,32;20
7477;18,90;20
7483;18,90;20
7485;14,40;20
7521;22,41;20
7529;17,00;20
7749;18,75;20
7753;28,89;20
7761;15,30;20
7801;12,75;20
7817;74,07;20
7851;16,20;20
7861;36,00;20
7865;33,75;20
7867;36,00;20
7904;16,00;20
7918;20,40;20
7925;0,00;20
7934;37,44;20
7940;21,35;20
7941;21,35;20
8033;12,75;20
8034;12,75;20
8036;15,30;20
8037;12,75;20
8040;22,40;20
8043;33,00;20
8045;16,00;20
8046;15,30;20
8048;21,60;20
8050;15,30;20
8051;15,30;20
8053;17,00;20
8054;15,30;20
