Product ID;Final price;tva
6149;60;20
6147;60;20
6145;49.9;20
6143;43;20
6141;39.996;20
6139;49.9;20
6137;49.9;20
6133;49.9;20
6131;39.996;20
6129;39.996;20
6127;49.9;20
6125;36;20
6123;43;20
6121;49.9;20
6119;39.996;20
6117;36;20
6115;36;20
6111;40;20
6109;49.9;20
6107;49.9;20
6105;48;20
6103;60;20
6101;60;20
6099;49.89996;20
6097;46.8;20
6095;60;20
6093;36;20
6091;49.9;20
6089;36;20
6087;49.9;20
6085;49.9;20
6083;36;20
6081;49.9;20
6079;39.996;20
6077;36;20
6075;36;20
6073;60;20
6071;49.9;20
6069;60;20
6067;60;20
6065;49.9;20
6063;9.9;20
6061;9.9;20
6059;11.9;20
6057;11.9;20
6041;24.9;20
6039;24.9;20
6037;24.9;20
6035;24.9;20
6029;24.9;20
6027;20.004;20
6017;28.9;20
6015;30.996;20
6013;30;20
6011;30;20
6009;30;20
6007;30;20
6005;24.9;20
6003;30.996;20
5995;24.996;20
5983;29.95;20
5971;60;20
5969;42;20
5967;61.2;20
5963;57.6;20
5961;24.9;20
5959;49.9;20
5953;42;20
5951;42;20
5927;24;20
5917;15.9;20
5909;30;20
5905;20.004;20
5903;20.004;20
5901;20.004;20
5899;20.004;20
5897;20.004;20
5895;9.9;20
5893;9.9;20
5891;25.2;20
5889;21.6;20
5887;24.99;20
5885;29.9;20
5881;20;20
5877;15.9;20
5855;42;20
5853;34.17142903;20
5851;42;20
5849;42;20
5847;42;20
5845;42;20
5843;42;20
5841;42;20
5839;34.17142903;20
5837;42;20
5835;42;20
5833;42;20
5831;42;20
5829;42;20
5827;42;20
5825;42;20
